番号,Ap. 語形,Ap. アクセント,意味,脚韻開始一致率,内訳,全体,逸脱,Ved. のアクセント,,
309,osāria-,osā́ria-,遠くさせられた,100.000%,3,3,0,avasārita-,,
310,ohara-,ohára-,語義不明,66.667%,2,3,0,,,
311,kaanta-,kaánta-,終わりをもたらす者,100.000%,5,5,0,kṛtānta-,,
312,kaa-,káa-,なされた,100.000%,8,8,0,kṛtá-,,
313,kaikasī-,kaikasī́-,カイカシー,100.000%,2,2,0,,,
314,kaicindha-,kaicíndha-,猿の徽章,66.667%,2,3,1,,,
315,kaiddhaa-,kaiddháa-,カイッダア（猿の王）,54.545%,6,11,0,,,
316,kaivara-,kaivára-,最高の詩人,100.000%,2,2,0,,,
317,kai-,kái-,猿,100.000%,3,3,0,kapí-,,
318,kaṅkaṇa-,kaṅkáṇa-,腕輪,100.000%,2,2,0,kaṅkaṇa-,,
319,kaṅkha-,kaṅkhá-,望む,100.000%,2,2,0,kāṅkṣa-,,
320,kaṅkha-,káṅkha- / kaṅkhá-,望み,50.000%,1,2,,kāṅkṣā-,,
321,kajjala-,kajjála-,煤黒,100.000%,2,2,0,kajjala-,,
322,kajja-,kájja-,仕事,96.000%,24,25,1,kāryà-,,
323,kañcaṇaraha-,káñcaṇaraha- / kañcaṇarahá-,カーンチャナラタ,50.000%,1,2,,,,
324,kañjaa-,káñjaa- / kañjáa-,蓮華,50.000%,1,2,,kaṃja-,,
325,kaṭṭha-,káṭṭha- / kaṭṭhá-,破片,50.000%,1,2,,kāṣṭhá-,,
326,kaḍakkhaṇa-,kaḍákkhaṇa-,横目で見ること,100.000%,2,2,0,,,
327,kaḍakkhia-,kaḍákkhia-,横目で見られた,100.000%,2,2,0,kaṭākṣita-,,
328,kaḍamaddaṇa-,kaḍamaddaṇa-,破滅,69.231%,9,13,0,,,
329,kaḍiala-,kaḍiála-,腰の部位,100.000%,4,4,0,kaṭitala-,,
330,kaḍisutta-,kaḍisútta-,腰帯,87.500%,7,8,0,kaṭisūtra-,,
331,kaṇaamālā-,kaṇaámālā- / kaṇaamā́lā-,カナカマーラー,50.000%,1,2,,kanakamālā-,,
332,kaṇaa-,káṇaa-,カナカ,100.000%,3,3,0,kanaka-,,
333,kaṇiṭṭha-,kaṇíṭṭha-,小さい,75.000%,3,4,1,kániṣṭa- / kaniṣṭá-,,
334,kaṇṭaa-,kaṇṭáa-,とげ,50.000%,2,4,1,káṇṭaka-,,
335,kaṇṭāla-,kaṇṭā́la-,大釜,100.000%,2,2,0,,,
336,kaṇṭhāharaṇa-,kaṇṭhāháraṇa- / kaṇṭhāharáṇa-,首飾り,50.000%,1,2,,kaṇṭhābharaṇa-,,
337,kaṇṭhia-,kaṇṭhía-,接触,100.000%,2,2,0,,,
